Date,prec,tmax,tmin,tmean,qt
11/24/1990,0,21.7665,14.82,17.8474,8.65
11/25/1990,0,23.3596,14.3199,17.9826,8.94
11/26/1990,8.5739,22.372,14.9241,17.8508,8.65
11/27/1990,6.8469,22.0148,14.3368,17.7194,8.34
11/28/1990,9.9352,20.0507,15.559,17.377,8.17
11/29/1990,0,23.1298,13.8248,17.4383,7.62
11/30/1990,10.4634,23.0455,13.7686,17.5385,6.46
12/1/1990,0,22.9865,14.496,17.9,7.18
12/2/1990,0,22.4048,15.4045,18.1722,6.36
12/3/1990,26.0752,21.906,14.8513,17.7024,7.18
12/4/1990,43.4587,20.2693,15.1102,17.3395,6.99
12/5/1990,26.0752,21.2821,15.5364,17.6717,9.59
12/6/1990,11.4658,20.7379,15.4027,17.4701,7.65
12/7/1990,10.0326,19.4508,14.6876,16.4466,10.7
12/8/1990,10.0326,22.3503,14.1819,17.2063,9.23
12/9/1990,0,21.1583,14.398,17.0996,10.2
12/10/1990,0,19.4466,14.728,16.6353,11.4
12/11/1990,0,21.6237,12.8992,16.9863,11.3
12/12/1990,0,22.6888,14.7531,17.6808,8.3
12/13/1990,0,20.9634,13.8323,16.9703,7.64
12/14/1990,0,21.4078,14.2176,17.3491,7.32
12/15/1990,0,22.112,15.8649,18.5709,7.97
12/16/1990,0,21.8699,15.5623,18.3085,7.01
12/17/1990,0,22.8122,15.2799,18.3425,6.7
12/18/1990,0,22.5407,15.3259,18.459,6.39
12/19/1990,7.6393,24.0603,15.3181,18.7653,6.1
12/20/1990,0,23.0219,14.4768,18.1618,6.1
12/21/1990,0,22.2555,13.0363,17.2774,5.81
12/22/1990,0,23.022,11.9105,17.3361,5.52
12/23/1990,0,22.7888,12.4329,16.9778,5.52
12/24/1990,0,22.1738,11.8248,16.5329,5.38
12/25/1990,0,22.5313,13.3369,16.9731,5.25
12/26/1990,0,21.5899,13.6601,17.2265,5.11
12/27/1990,0,22.7723,12.3803,16.8426,5.11
12/28/1990,0,22.17,12.3447,17.1647,4.96
12/29/1990,0,23.4094,14.0233,17.9031,4.82
12/30/1990,0,22.4569,13.5068,17.7204,4.82
12/31/1990,0,21.7317,13.2797,17.1492,4.69
1/1/1991,0,21.131,14.755,17.2127,4.69
1/2/1991,0,22.2564,13.7461,17.1595,4.69
1/3/1991,0,22.3982,12.7945,17.2889,4.69
1/4/1991,0,22.28,13.3764,17.5297,4.69
1/5/1991,0,22.253,14.1294,17.7704,4.56
1/6/1991,0,22.7398,14.4242,18.3022,4.29
1/7/1991,0,22.5693,13.8056,17.8066,4.17
1/8/1991,0,21.7925,13.9342,17.5288,4.05
1/9/1991,0,22.5701,13.9634,17.8727,3.92
1/10/1991,0,23.1865,14.5979,18.2535,3.92
1/11/1991,0,23.5981,13.9203,18.0497,3.92
1/12/1991,0,24.028,13.5941,18.2688,3.81
1/13/1991,0,21.7998,12.6565,17.2367,3.69
1/14/1991,0,22.4301,12.6019,17.2222,3.69
1/15/1991,0,18.0847,14.513,16.4813,4.47
1/16/1991,0,20.2007,14.3041,16.6646,4.42
1/17/1991,0,20.777,13.2586,16.6953,3.92
1/18/1991,16.239,19.7101,13.9486,16.389,4.05
1/19/1991,19.6982,20.124,13.6201,16.5105,4.05
1/20/1991,0,21.5087,12.0991,16.3579,3.81
1/21/1991,0,21.1697,11.9341,16.4435,3.69
1/22/1991,0,21.8453,11.9428,16.252,3.69
1/23/1991,0,21.7473,11.6136,16.0566,3.46
1/24/1991,0,22.1608,12.6733,16.5372,3.25
1/25/1991,0,23.2613,13.3692,17.2605,3.15
1/26/1991,0,23.2017,12.8153,17.3166,3.15
1/27/1991,0,22.6723,12.5452,17.2168,3.05
1/28/1991,0,24.5971,12.9037,17.5742,3.05
1/29/1991,0,23.3823,13.9121,18.2399,2.94
1/30/1991,0,24.3137,13.6035,18.4193,2.85
1/31/1991,0,24.883,13.8966,18.2176,2.85
2/1/1991,0,21.2057,14.8051,17.8169,2.85
2/2/1991,0,22.8461,12.4065,16.8417,2.94
2/3/1991,0,20.883,13.2061,16.6136,2.74
2/4/1991,0,21.7202,13.3115,17.0629,2.85
2/5/1991,0,22.8805,11.8632,16.7286,2.69
2/6/1991,0,22.1786,11.5393,16.4596,2.65
